"","date","open","high","low","close","volume"
"1","3-Mar-16",137.22,137.96,136.07,137.8,5156429
"2","2-Mar-16",133.7,137.44,133.22,136.3,5168887
"3","1-Mar-16",132.24,134.64,132.03,134.37,3786328
"4","29-Feb-16",132,133.36,130.9,131.03,4376341
"5","26-Feb-16",134.51,134.92,131.95,132.03,4383322
"6","25-Feb-16",133.29,134.51,130.88,134.5,4354669
"7","24-Feb-16",131.55,133.49,129.68,132.8,4087400
"8","23-Feb-16",133.14,133.41,132.01,132.4,3372962
"9","22-Feb-16",133.84,134.31,132.41,133.77,4441519
"10","19-Feb-16",132.36,133.65,130.84,133.08,5117316
"11","18-Feb-16",130,134,129.75,132.45,9925974
"12","17-Feb-16",123.71,126.57,123.25,126.1,4814894
"13","16-Feb-16",121.83,123.09,121.34,122.74,4027818
"14","12-Feb-16",119.26,121.05,118.35,121.04,4921506
"15","11-Feb-16",118.78,119.66,116.9,117.85,7236058
"16","10-Feb-16",125,125.29,119.84,120.19,6436823
"17","9-Feb-16",126.12,126.93,123.77,124.07,5923690
"18","8-Feb-16",126,127.51,124.13,126.98,7255939
"19","5-Feb-16",127.22,128.64,125.85,128.57,7155806
"20","4-Feb-16",125.08,128.5,125,127.65,5240258
"21","3-Feb-16",123.99,125.45,122.45,124.72,6222759
"22","2-Feb-16",123.67,124.14,122.64,122.94,3279196
"23","1-Feb-16",124.4,125.29,123.71,124.83,3570810
"24","29-Jan-16",123.28,124.79,122.96,124.79,8208826
"25","28-Jan-16",121.26,122.83,121.01,122.22,3942349
"26","27-Jan-16",122.73,123.37,120.65,120.96,4999341
"27","26-Jan-16",122.25,123.61,122.24,122.59,4613756
"28","25-Jan-16",122.1,124.23,121.64,122.08,5427835
"29","22-Jan-16",124.67,124.74,121.77,122.5,9237033
"30","21-Jan-16",121.3,125.1,120.58,122.91,8845201
"31","20-Jan-16",118.46,123.99,118,121.86,16133787
"32","19-Jan-16",130.11,132.1,128.06,128.11,9703914
"33","15-Jan-16",130.01,130.88,128.87,130.03,8942710
"34","14-Jan-16",131.93,133.79,131.22,132.91,5708301
"35","13-Jan-16",133.5,134.28,131.1,131.17,4675089
"36","12-Jan-16",133.65,133.78,131.13,132.9,5078678
"37","11-Jan-16",131.81,133.82,131.76,133.23,4974436
"38","8-Jan-16",133.18,133.82,131.32,131.63,4762706
"39","7-Jan-16",133.7,135.02,132.43,132.86,7025760
"40","6-Jan-16",134.38,135.58,133.62,135.17,4310939
"41","5-Jan-16",136.76,136.89,134.85,135.85,3924793
"42","4-Jan-16",135.6,135.97,134.24,135.95,5208900
"43","31-Dec-15",139.07,139.1,137.57,137.62,3462077
"44","30-Dec-15",139.58,140.44,139.22,139.34,2989367
"45","29-Dec-15",138.25,140.06,138.2,139.78,3943691
"46","28-Dec-15",137.74,138.04,136.54,137.61,3143412
"47","24-Dec-15",138.43,138.88,138.11,138.25,1495226
"48","23-Dec-15",138.3,139.3,138.11,138.54,5164916
"49","22-Dec-15",135.88,138.19,135.65,137.93,4263828
"50","21-Dec-15",135.83,135.83,134.02,135.5,5617475
"51","18-Dec-15",136.41,136.96,134.27,134.9,10026106
"52","17-Dec-15",139.35,139.5,136.31,136.75,4089539
"53","16-Dec-15",139.12,139.65,137.79,139.29,4345474
"54","15-Dec-15",137.4,138.97,137.28,137.79,4238546
"55","14-Dec-15",135.31,136.14,134.02,135.93,5116906
"56","11-Dec-15",135.23,135.44,133.91,134.57,5333767
"57","10-Dec-15",137.03,137.85,135.72,136.78,4222329
"58","9-Dec-15",137.38,139.84,136.23,136.61,4614993
"59","8-Dec-15",138.28,139.06,137.53,138.05,3905155
"60","7-Dec-15",140.16,140.41,138.81,139.55,3279376
"61","4-Dec-15",138.09,141.02,137.99,140.43,4571608
"62","3-Dec-15",140.1,140.73,138.19,138.92,5909588
"63","2-Dec-15",140.93,141.21,139.5,139.7,3725363
"64","1-Dec-15",139.58,141.4,139.58,141.28,4195119
"65","30-Nov-15",138.61,139.9,138.52,139.42,4545587
"66","27-Nov-15",138,138.81,137.21,138.46,1415840
"67","25-Nov-15",138.37,138.43,137.38,138,3238166
"68","24-Nov-15",137.65,139.34,137.31,138.6,3407653
"69","23-Nov-15",138.53,138.87,137.12,138.46,5137922
"70","20-Nov-15",137.37,138.92,137.25,138.5,5176375
"71","19-Nov-15",136.21,137.74,136.01,136.74,4753603
"72","18-Nov-15",134.79,135.91,134.26,135.82,4149181
"73","17-Nov-15",134.22,134.82,133.31,133.82,2815142
"74","16-Nov-15",131.79,134.09,131.79,133.71,4190827
"75","13-Nov-15",132.95,133,131.65,131.75,4613817
"76","12-Nov-15",134.7,134.7,133.01,133.04,4701365
"77","11-Nov-15",136.09,136.2,134.5,135.02,3164806
"78","10-Nov-15",135.36,135.74,134.12,135.47,4520807
"79","9-Nov-15",137.92,138.08,134.88,135.31,8075593
"80","6-Nov-15",138.6,139.55,137.87,138.25,4744948
"81","5-Nov-15",141.61,142.38,139.63,139.89,5096893
"82","4-Nov-15",142.55,142.65,141.3,141.63,3516890
"83","3-Nov-15",140.02,142.8,139.9,141.88,4349405
"84","2-Nov-15",140.5,140.52,139.57,140.37,3822212
"85","30-Oct-15",140.44,141.33,139.9,140.08,3983990
"86","29-Oct-15",140.36,140.82,139.02,140.55,3710445
"87","28-Oct-15",137.92,141.23,137.5,140.83,8511376
"88","27-Oct-15",143.51,143.83,137.33,137.86,15008527
"89","26-Oct-15",144.75,145,143.21,143.66,3489428
"90","23-Oct-15",144.61,145.49,143.7,144.68,5370439
"91","22-Oct-15",141.74,145.07,141.62,144.09,5583167
"92","21-Oct-15",140.25,142.66,139.3,140.92,7134948
"93","20-Oct-15",142.49,142.88,140.27,140.64,16025591
"94","19-Oct-15",149.85,149.97,148.38,149.22,7954684
"95","16-Oct-15",150.45,151.2,149.26,150.39,3483739
"96","15-Oct-15",150.91,151.24,148.58,150.09,3476219
"97","14-Oct-15",149.6,150.65,149.02,150.01,3353008
"98","13-Oct-15",150.78,150.78,149.18,149.62,3915707
"99","12-Oct-15",152.4,152.58,150.85,151.14,3227636
"100","9-Oct-15",152.46,153.15,151.27,152.39,3531107
"101","8-Oct-15",149.69,153.02,149.29,152.28,4794357
"102","7-Oct-15",150.04,150.73,148.86,150.09,2989943
"103","6-Oct-15",149.06,150.15,148.49,148.78,2987752
"104","5-Oct-15",145.82,149.89,145.82,149.04,5131819
"105","2-Oct-15",141.05,144.59,140.56,144.58,3054428
"106","1-Oct-15",145.31,145.67,141.59,143.59,3880887
"107","30-Sep-15",143.69,145.71,143.66,144.97,3946168
"108","29-Sep-15",141.99,142.66,141.15,142.47,4763509
"109","28-Sep-15",144.42,145.38,142.47,142.52,4317302
"110","25-Sep-15",145.55,146.27,144.53,145.42,3474429
"111","24-Sep-15",142.6,145.07,141.95,144.41,3280268
"112","23-Sep-15",144.21,144.57,142.75,143.66,2674225
"113","22-Sep-15",144.62,145.06,143.77,144.43,3564065
"114","21-Sep-15",145.39,146.98,144.92,146.48,3809545
"115","18-Sep-15",146.05,146.38,143.98,144.51,7975845
"116","17-Sep-15",148.1,149.68,147.3,148.14,3953300
"117","16-Sep-15",147.84,148.89,147.54,148.41,2796403
"118","15-Sep-15",146.6,147.93,145.76,147.53,2717060
"119","14-Sep-15",147.37,147.37,145.41,145.65,3226747
"120","11-Sep-15",145.91,147.5,145.67,147.37,3115053
"121","10-Sep-15",145.85,147.16,144.51,146.2,3458815
"122","9-Sep-15",148.74,149.04,144.85,145.05,3407761
"123","8-Sep-15",145.86,147.34,145.66,147.23,3933276
"124","4-Sep-15",144.57,145.4,143.32,143.7,4201068
"125","3-Sep-15",146.05,148.03,145.77,146.78,3594136
"126","2-Sep-15",144.74,145.08,143.18,145.05,4246467
"127","1-Sep-15",144.91,144.98,141.85,142.68,5260853
"128","31-Aug-15",147.38,148.4,146.26,147.89,4081752
"129","28-Aug-15",147.75,148.2,147.18,147.98,4061118
"130","27-Aug-15",148.5,148.97,145.66,148.54,4766402
"131","26-Aug-15",144.09,146.98,142.14,146.7,6196543
"132","25-Aug-15",146.94,147.11,140.62,140.96,6890404
"133","24-Aug-15",143.47,147.76,142.32,143.47,10071564
"134","21-Aug-15",151.5,153.19,148.7,148.85,7318353
"135","20-Aug-15",152.74,153.91,152.5,152.66,3954331
"136","19-Aug-15",155.15,155.67,153.41,153.94,4206381
"137","18-Aug-15",155.51,156.52,155.25,156.01,2018337
"138","17-Aug-15",155.2,156.69,154.7,156.31,2249554
"139","14-Aug-15",155,156.21,154.58,155.75,3226434
"140","13-Aug-15",156.06,156.09,154.32,155.07,2533378
"141","12-Aug-15",154.26,156.52,153.95,156.16,3624852
"142","11-Aug-15",155.96,155.99,154.86,155.51,3167111
"143","10-Aug-15",156.77,157.47,156.12,156.75,4613391
"144","7-Aug-15",155.89,156.25,154.34,155.12,3794897
"145","6-Aug-15",157.13,157.54,156.18,156.32,3004796
"146","5-Aug-15",159.1,159.54,157.48,157.9,3472774
"147","4-Aug-15",158.4,158.82,156.87,157.6,5260575
"148","3-Aug-15",161.7,161.85,157.9,158.71,4615682
"149","31-Jul-15",161.4,162.06,160.63,161.99,3580226
"150","30-Jul-15",160.5,161.4,159.75,160.96,1994665
"151","29-Jul-15",160,161.5,159.39,161.09,3378396
"152","28-Jul-15",159.91,160.19,158.5,160.05,2721040
"153","27-Jul-15",159,160.18,158.6,159.07,3706240
"154","24-Jul-15",161.29,161.93,159.41,159.75,3778186
"155","23-Jul-15",160.27,162.75,159.83,161.73,5034246
"156","22-Jul-15",162.73,163.07,159.7,160.35,7181841
"157","21-Jul-15",164.34,166.35,162.02,163.07,13752277
"158","20-Jul-15",172.79,173.78,172.14,173.22,7377818
"159","17-Jul-15",170.33,172.52,170.1,172.51,4356404
"160","16-Jul-15",169.47,171.09,169.16,171,3529874
"161","15-Jul-15",168.48,169.27,168,168.53,1998004
"162","14-Jul-15",169.43,169.54,168.24,168.61,3025263
"163","13-Jul-15",167.93,169.89,167.52,169.38,4228963
"164","10-Jul-15",165.66,167.4,165.52,166.95,4538349
"165","9-Jul-15",165.34,165.51,163.7,163.85,4199708
"166","8-Jul-15",164,164.94,162.68,163.16,2776286
"167","7-Jul-15",164.94,165.35,162.23,165,3549861
"168","6-Jul-15",163.83,165.23,163.52,164.73,3079833
"169","2-Jul-15",165.05,165.32,164.42,165.09,2852696
"170","1-Jul-15",163.97,165.61,163.6,164.49,3214547
"171","30-Jun-15",163.99,164,162.12,162.66,3597288
