STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160212,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160213,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160214,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160215,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160216,79, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160217,249, , ,N,9999,79, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160218,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160219,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160220,10, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160221,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160222,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160224,84, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160225,333, , ,N,9999,-9999, , , ,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160226,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160227,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160228,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160229,0, , ,N,9999,0, , ,N,9999
GHCND:US1NHRC0006,PORTSMOUTH 1.5 NE NH US,2.1,43.0704,-70.7595,20160301,0, , ,N,9999,0, , ,N,9999
